"Id","IdDec","Name","Base","Offset","File","Line"
"0x52FC","21244","CS_CABINETITEMLIST_REQ","CS_MAP","0x007C","CSProtocol.h","1182"
"0x52FD","21245","CS_CABINETITEMLIST_ACK","CS_MAP","0x007D","CSProtocol.h","1184"
"0x52FE","21246","CS_CABINETOPEN_REQ","CS_MAP","0x007E","CSProtocol.h","1209"
"0x52FF","21247","CS_CABINETOPEN_ACK","CS_MAP","0x007F","CSProtocol.h","1211"
"0x5302","21250","CS_NPCITEMLIST_REQ","CS_MAP","0x0082","CSProtocol.h","1215"
"0x5303","21251","CS_NPCITEMLIST_ACK","CS_MAP","0x0083","CSProtocol.h","1217"
"0x5304","21252","CS_ITEMBUY_REQ","CS_MAP","0x0084","CSProtocol.h","1225"
"0x5305","21253","CS_ITEMBUY_ACK","CS_MAP","0x0085","CSProtocol.h","1232"
"0x5306","21254","CS_ITEMSELL_REQ","CS_MAP","0x0086","CSProtocol.h","1238"
"0x5307","21255","CS_ITEMSELL_ACK","CS_MAP","0x0087","CSProtocol.h","1244"
"0x5308","21256","CS_MONITEMLIST_REQ","CS_MAP","0x0088","CSProtocol.h","1249"
"0x5309","21257","CS_MONITEMLIST_ACK","CS_MAP","0x0089","CSProtocol.h","1252"
"0x530A","21258","CS_MONITEMTAKE_REQ","CS_MAP","0x008A","CSProtocol.h","1281"
"0x530B","21259","CS_MONITEMTAKE_ACK","CS_MAP","0x008B","CSProtocol.h","1286"
"0x530C","21260","CS_MONITEMLOTTERY_REQ","CS_MAP","0x008C","CSProtocol.h","1288"
"0x530D","21261","CS_MONITEMLOTTERY_ACK","CS_MAP","0x008D","CSProtocol.h","1292"
"0x530E","21262","CS_FRIENDASK_REQ","CS_MAP","0x008E","CSProtocol.h","1312"
"0x530F","21263","CS_FRIENDASK_ACK","CS_MAP","0x008F","CSProtocol.h","1314"
"0x5310","21264","CS_FRIENDREPLY_REQ","CS_MAP","0x0090","CSProtocol.h","1316"
"0x5311","21265","CS_FRIENDADD_ACK","CS_MAP","0x0091","CSProtocol.h","1319"
"0x5312","21266","CS_FRIENDERASE_REQ","CS_MAP","0x0092","CSProtocol.h","1327"
"0x5313","21267","CS_FRIENDERASE_ACK","CS_MAP","0x0093","CSProtocol.h","1329"
"0x5314","21268","CS_FRIENDLIST_ACK","CS_MAP","0x0094","CSProtocol.h","1332"
"0x5315","21269","CS_FRIENDCONNECTION_ACK","CS_MAP","0x0095","CSProtocol.h","1357"
"0x5316","21270","CS_FRIENDREGION_ACK","CS_MAP","0x0096","CSProtocol.h","1361"
"0x531F","21279","CS_HOTKEYADD_REQ","CS_MAP","0x009F","CSProtocol.h","1365"
"0x5321","21281","CS_HOTKEYDEL_REQ","CS_MAP","0x00A1","CSProtocol.h","1370"
"0x5322","21282","CS_HOTKEYCHANGE_ACK","CS_MAP","0x00A2","CSProtocol.h","1373"
"0x5323","21283","CS_CHARSTATINFO_REQ","CS_MAP","0x00A3","CSProtocol.h","1381"
"0x5324","21284","CS_CHARSTATINFO_ACK","CS_MAP","0x00A4","CSProtocol.h","1383"
"0x5325","21285","CS_CANCELACTION_REQ","CS_MAP","0x00A5","CSProtocol.h","1423"
"0x5326","21286","CS_CANCELACTION_ACK","CS_MAP","0x00A6","CSProtocol.h","1426"
"0x5327","21287","CS_LOCALENABLE_ACK","CS_MAP","0x00A7","CSProtocol.h","1429"
"0x5328","21288","CS_LOCALOCCUPY_ACK","CS_MAP","0x00A8","CSProtocol.h","1432"
"0x5329","21289","CS_ITEMUPGRADE_REQ","CS_MAP","0x00A9","CSProtocol.h","1437"
"0x532A","21290","CS_ITEMUPGRADE_ACK","CS_MAP","0x00AA","CSProtocol.h","1445"
"0x532B","21291","CS_ITEMMAGICGRADE_ACK","CS_MAP","0x00AB","CSProtocol.h","1452"
"0x532C","21292","CS_CORPSASK_REQ","CS_MAP","0x00AC","CSProtocol.h","1463"
"0x532D","21293","CS_CORPSASK_ACK","CS_MAP","0x00AD","CSProtocol.h","1466"
"0x532E","21294","CS_CORPSREPLY_REQ","CS_MAP","0x00AE","CSProtocol.h","1469"
"0x532F","21295","CS_CORPSREPLY_ACK","CS_MAP","0x00AF","CSProtocol.h","1473"
"0x5330","21296","CS_CORPSLEAVE_REQ","CS_MAP","0x00B0","CSProtocol.h","1477"
"0x5331","21297","CS_CORPSJOIN_ACK","CS_MAP","0x00B1","CSProtocol.h","1480"
"0x5332","21298","CS_CORPSCMD_REQ","CS_MAP","0x00B2","CSProtocol.h","1484"
"0x5333","21299","CS_CORPSCMD_ACK","CS_MAP","0x00B3","CSProtocol.h","1494"
"0x5334","21300","CS_CORPSENEMYLIST_REQ","CS_MAP","0x00B4","CSProtocol.h","1504"
"0x5335","21301","CS_CORPSENEMYLIST_ACK","CS_MAP","0x00B5","CSProtocol.h","1522"
"0x5336","21302","CS_MOVECORPSENEMY_REQ","CS_MAP","0x00B6","CSProtocol.h","1538"
"0x5337","21303","CS_MOVECORPSENEMY_ACK","CS_MAP","0x00B7","CSProtocol.h","1547"
"0x5338","21304","CS_MOVECORPSUNIT_REQ","CS_MAP","0x00B8","CSProtocol.h","1556"
"0x5339","21305","CS_MOVECORPSUNIT_ACK","CS_MAP","0x00B9","CSProtocol.h","1565"
"0x533A","21306","CS_ADDCORPSENEMY_REQ","CS_MAP","0x00BA","CSProtocol.h","1574"
"0x533B","21307","CS_ADDCORPSENEMY_ACK","CS_MAP","0x00BB","CSProtocol.h","1584"
"0x533C","21308","CS_DELCORPSENEMY_REQ","CS_MAP","0x00BC","CSProtocol.h","1594"
"0x533D","21309","CS_DELCORPSENEMY_ACK","CS_MAP","0x00BD","CSProtocol.h","1599"
"0x533E","21310","CS_ADDCORPSUNIT_ACK","CS_MAP","0x00BE","CSProtocol.h","1604"
"0x533F","21311","CS_DELCORPSUNIT_ACK","CS_MAP","0x00BF","CSProtocol.h","1627"
"0x5340","21312","CS_ADDSQUAD_ACK","CS_MAP","0x00C0","CSProtocol.h","1631"
"0x5341","21313","CS_DELSQUAD_ACK","CS_MAP","0x00C1","CSProtocol.h","1658"
